Census Tract,Total Population,California County,Longitude,Latitude,Asthma_Pctl
6065040403,5801,Riverside ,-117.4960233,33.9918252,62.9
6065031602,5314,Riverside ,-117.448479,33.9268256,68.41
6071003509,4827,San Bernardino,-117.3776534,34.103182,87.41
6065030200,4633,Riverside ,-117.3950678,33.9814743,93.69
6071000605,5274,San Bernardino,-117.6893011,34.0155079,57.2
6065044000,2109,Riverside ,-116.9768263,33.9269395,70.02
6071004403,5647,San Bernardino,-117.3409608,34.0928313,92.64
6065031502,8020,Riverside ,-117.4429741,33.9399352,48.11
6071007303,4828,San Bernardino,-117.2682416,34.0556845,36.2
6071003612,4256,San Bernardino,-117.3589741,34.0760668,61.85
6065040303,3243,Riverside ,-117.4511075,34.008501,64.08
6071009116,6717,San Bernardino,-117.4107067,34.577087,93.95
6071001808,4413,San Bernardino,-117.6187363,34.025502,58.47
6071002803,3982,San Bernardino,-117.4469078,34.1029542,81.65
6065045706,4821,Riverside ,-116.165725,33.6774083,58.33
6065042519,1706,Riverside ,-117.2274689,33.9373528,82.21
6071009800,5017,San Bernardino,-117.3009281,34.535916,93.79
6071002105,5036,San Bernardino,-117.6046422,34.0979077,56.25
6065040301,7857,Riverside ,-117.4234617,34.0003286,64.08
6071006604,4278,San Bernardino,-117.3337749,34.0900259,77.26
6071001704,5056,San Bernardino,-117.6600725,34.0357869,68.18
6065043405,4217,Riverside ,-116.9865118,33.7502798,89.61
6071000208,4124,San Bernardino,-117.6895559,34.0704075,78.06
6071002804,5417,San Bernardino,-117.446889,34.0957108,81.65
6071001806,4760,San Bernardino,-117.6305659,34.0249243,58.47
6071012002,5366,San Bernardino,-116.9695855,34.8748849,99.95
6071000901,4600,San Bernardino,-117.6396399,34.103005,82.98
6071002107,4970,San Bernardino,-117.5866987,34.1006231,56.25
6065042404,2038,Riverside ,-117.2347522,33.943773,68.61
6065031701,2943,Riverside ,-117.4050093,33.9061238,51.18
6065043006,4703,Riverside ,-117.3445199,33.6824833,49.38
6071003804,4578,San Bernardino,-117.3520799,34.1242645,83.79
6065031002,4559,Riverside ,-117.4237908,33.9518517,78.48
6065042706,8393,Riverside ,-117.2070433,33.7943832,57.41
6071002602,7639,San Bernardino,-117.4982025,34.0426943,53.15
6071003101,5040,San Bernardino,-117.4490622,34.0848049,81.65
6071007407,2940,San Bernardino,-117.2349561,34.1322121,80.01
6071008001,6513,San Bernardino,-117.1893601,34.0811964,52.2
6071000603,5576,San Bernardino,-117.6829758,34.0299818,51.71
6071000824,5092,San Bernardino,-117.6583212,34.1024278,85.95
6071000903,4338,San Bernardino,-117.6393283,34.0962131,64.58
6071001906,7060,San Bernardino,-117.5757345,34.0081401,47.14
6065040607,9317,Riverside ,-117.5457941,34.0114705,25.46
6065043517,6815,Riverside ,-117.0240132,33.8219345,61.8
6065046200,3341,Riverside ,-114.5966887,33.5994708,89.35
6071002902,6584,San Bernardino,-117.422734,34.1030715,66.59
6065042520,4669,Riverside ,-117.2250806,33.9304056,82.21
6071003900,5484,San Bernardino,-117.3605165,34.1002723,87.41
6071000826,4075,San Bernardino,-117.6606253,34.0917424,76.96
6065042719,5025,Riverside ,-117.1606951,33.7976018,50.47
6071009912,4762,San Bernardino,-117.3135296,34.5067365,93.79
6071003607,5369,San Bernardino,-117.3711097,34.0887229,87.41
6065042624,3784,Riverside ,-117.1127892,33.890645,69.23
6071010011,5221,San Bernardino,-117.2985044,34.4610778,73.96
6065041411,3187,Riverside ,-117.5159682,33.8784662,34.7
6071004601,7032,San Bernardino,-117.3292141,34.1673473,83.57
6071000821,3478,San Bernardino,-117.6910613,34.1007304,84.62
6071004401,4383,San Bernardino,-117.3529084,34.0941764,74.57
6071010802,5338,San Bernardino,-117.3520808,34.2700821,94.58
6071001707,5966,San Bernardino,-117.6602067,34.0453895,77.88
6065042518,3670,Riverside ,-117.2218309,33.9118904,82.21
6065042007,4339,Riverside ,-117.409206,33.7812173,41.4
6071000403,4678,San Bernardino,-117.7129533,34.0393978,46.03
6071001311,3236,San Bernardino,-117.5989117,34.0855935,50.79
6071012700,4052,San Bernardino,-117.5557735,34.0490461,45.58
6065041004,4590,Riverside ,-117.4977413,33.9589888,25.01
6065043507,6700,Riverside ,-116.9725527,33.7681153,60.18
6071010300,3846,San Bernardino,-115.8769708,35.143329,62.35
6065041102,4185,Riverside ,-117.4871242,33.9403266,55.99
6065048902,5957,Riverside ,-117.2217753,33.8974314,73.34
6065041407,5830,Riverside ,-117.4726363,33.9110608,55.14
6071006603,4958,San Bernardino,-117.3367238,34.0821073,91.5
6071002901,4446,San Bernardino,-117.4303742,34.1048553,51.43
6071000823,6658,San Bernardino,-117.6718364,34.1008082,85.95
6065045707,6397,Riverside ,-116.1857289,33.6810687,58.33
6071010025,7405,San Bernardino,-117.3247037,34.4831244,93.74
6065040405,5353,Riverside ,-117.4673294,33.9886544,64.08
6071000606,4374,San Bernardino,-117.6740258,34.0155355,57.2
6071001200,4730,San Bernardino,-117.6461154,34.0794803,70.25
6071006100,8346,San Bernardino,-117.2600059,34.1602104,96.27
6071002207,4461,San Bernardino,-117.5314807,34.0931847,5.31
6065041302,4303,Riverside ,-117.4769727,33.9207824,47.25
6065045502,3744,Riverside ,-116.2278745,33.7209537,73.31
6071003401,7502,San Bernardino,-117.413994,34.0994731,71.33
6065043005,5049,Riverside ,-117.360641,33.7062728,43.7
6065042521,4922,Riverside ,-117.2272172,33.9220397,82.21
6071002606,7089,San Bernardino,-117.4765849,34.0422028,53.15
6071003803,4732,San Bernardino,-117.3642213,34.1129611,87.41
6071006201,3583,San Bernardino,-117.2668235,34.1426727,96.33
6065042517,3278,Riverside ,-117.213154,33.9119021,70.71
6071004603,5717,San Bernardino,-117.3081225,34.1566319,87.06
6071001804,5145,San Bernardino,-117.6439623,34.0248561,46.35
6065049500,8421,Riverside ,-116.2106697,33.7098989,73.31
6065042409,3299,Riverside ,-117.2523984,33.956709,68.61
6071009913,6068,San Bernardino,-117.287959,34.5147771,93.79
6065043001,5593,Riverside ,-117.3166621,33.6483829,49.06
6065041405,4096,Riverside ,-117.4884574,33.8925283,68.41
6071002101,4399,San Bernardino,-117.6242993,34.098786,37.44
6065048200,4301,Riverside ,-117.5407373,33.8889347,46.7
6065041202,4458,Riverside ,-117.4707309,33.9344497,68.41
6071003507,4887,San Bernardino,-117.3900615,34.1104058,87.41
6071000504,5450,San Bernardino,-117.6947801,33.9996795,57.2
6065041404,3725,Riverside ,-117.4724177,33.8922119,68.41
6071007800,4912,San Bernardino,-117.2191957,34.0734306,34.12
6071004404,5570,San Bernardino,-117.3419748,34.1014098,90.2
6071000304,5871,San Bernardino,-117.6940864,34.0536544,44.88
6071001903,8028,San Bernardino,-117.6224884,33.9664971,15.22
6065042621,6556,Riverside ,-117.2002245,33.9319935,59.43
6065043813,4340,Riverside ,-116.8279566,33.9346407,98.87
6065043317,8526,Riverside ,-117.018009,33.6989771,61.31
6065042903,5738,Riverside ,-117.3133054,33.8027798,61
6065040605,3543,Riverside ,-117.5140276,33.9962787,51.09
6065042210,4761,Riverside ,-117.3350138,33.9895557,71.9
6065031402,6518,Riverside ,-117.4200459,33.9417307,78.13
6065031703,3611,Riverside ,-117.4379056,33.9098243,61.74
6065040815,3586,Riverside ,-117.5114997,33.8930776,35.31
6071011700,1768,San Bernardino,-117.2159049,34.7138452,52.45
6071002703,5780,San Bernardino,-117.4255984,34.1650715,68.77
6071001703,5979,San Bernardino,-117.659215,34.0247811,48.51
6065042212,6727,Riverside ,-117.2850572,33.9488742,60.99
6065042009,7119,Riverside ,-117.3150981,33.8604957,37.28
6071009904,10960,San Bernardino,-117.3359,34.515479,79.38
6065042617,11436,Riverside ,-117.2145613,33.8073433,57.41
6065040821,5691,Riverside ,-117.528512,33.8910849,46.7
6071002604,5723,San Bernardino,-117.4928732,34.0358648,48.78
6071003403,4524,San Bernardino,-117.4081152,34.0837281,49.42
6071011800,7000,San Bernardino,-117.1213732,34.8338041,99.95
6071001905,6389,San Bernardino,-117.6258794,34.0085229,40.89
6071000604,5682,San Bernardino,-117.6828193,34.0227451,57.2
6071008705,4617,San Bernardino,-117.0937231,34.0278349,44.71
6071000401,6387,San Bernardino,-117.723699,34.0151297,55.64
6065043310,3120,Riverside ,-116.9363867,33.7452198,67.29
6071004507,5042,San Bernardino,-117.3017356,34.168967,86.62
6071005100,7749,San Bernardino,-117.2805874,34.1575897,93.31
6071002706,6654,San Bernardino,-117.3899458,34.1801741,71.46
6065045605,10543,Riverside ,-116.1437183,33.5349272,35.99
6065042618,8283,Riverside ,-117.2187833,33.8217106,57.41
6071000404,4419,San Bernardino,-117.6905171,34.0410264,45.43
6071003801,4735,San Bernardino,-117.3640967,34.1284219,87.41
6071009905,7575,San Bernardino,-117.3099848,34.5507774,89.83
6071010013,8022,San Bernardino,-117.2673851,34.428542,77.8
6065030800,6973,Riverside ,-117.4115769,33.9653835,46.14
6071002601,10799,San Bernardino,-117.4505924,34.0547059,35.48
6065040603,2376,Riverside ,-117.526465,33.9705168,41
6065046800,6365,Riverside ,-117.2132757,33.9283078,73.16
6071003603,4141,San Bernardino,-117.39214,34.0886323,76.1
6071010012,4877,San Bernardino,-117.2683614,34.4540611,77.12
6065031100,4584,Riverside ,-117.3909919,33.9549035,53.47
6065043505,2911,Riverside ,-116.9935262,33.7583074,47.56
6065043504,7743,Riverside ,-117.0203384,33.7539134,54.91
6065042206,5620,Riverside ,-117.3297749,33.9590764,66.11
6071002103,4646,San Bernardino,-117.6080465,34.1030228,56.25
6065040809,3353,Riverside ,-117.5555915,33.8928291,24.11
6071002037,7739,San Bernardino,-117.5015528,34.1223865,31.68
6065045609,5880,Riverside ,-116.1520684,33.6448,32.33
6071003405,5109,San Bernardino,-117.4055556,34.0975427,50.88
6071010026,10495,San Bernardino,-117.2949039,34.485449,93.08
6065043309,2890,Riverside ,-116.9504264,33.751115,58.33
6071007302,10039,San Bernardino,-117.2307072,34.0226242,53.32
6071008100,3182,San Bernardino,-117.1894607,34.0555603,45.29
6065051200,3403,Riverside ,-117.2137708,33.4881171,27.35
6065042730,5338,Riverside ,-117.1666928,33.7592819,39.32
6071003611,4575,San Bernardino,-117.3615997,34.0814164,68.64
6071002705,5513,San Bernardino,-117.3931048,34.1440395,67.87
6065046102,2027,Riverside ,-114.609989,33.6137829,89.35
6065042406,4150,Riverside ,-117.2527895,33.9502452,68.61
6071025100,1688,San Bernardino,-114.8402003,34.5022634,99.99
6071000501,6785,San Bernardino,-117.7068103,34.0262054,57.2
6065040812,3480,Riverside ,-117.5494884,33.9244565,35.84
6065040901,6516,Riverside ,-117.4898954,33.913354,67.77
6071007408,4181,San Bernardino,-117.2349381,34.1249384,61.49
6071002305,10725,San Bernardino,-117.4711132,34.1139657,40.13
6065042744,3726,Riverside ,-117.081948,33.8262813,51.12
6065040904,3655,Riverside ,-117.4972884,33.9304797,67.77
6065040606,3329,Riverside ,-117.5145711,33.9827133,46.78
6065042509,3193,Riverside ,-117.2306582,33.9100514,71.66
6065040202,2821,Riverside ,-117.433385,33.982183,64.08
6071000113,11112,San Bernardino,-117.7039952,33.9705846,20.31
6065041904,4786,Riverside ,-117.6564424,33.8836237,25.72
6065031501,7387,Riverside ,-117.4320467,33.929195,67.9
6071010014,4800,San Bernardino,-117.3059014,34.4359597,77.98
6071003605,4223,San Bernardino,-117.392117,34.0813583,49.66
6071011900,3567,San Bernardino,-117.0754285,34.9440127,98.2
6071012101,5565,San Bernardino,-117.2235881,34.5925409,92.35
6065040902,5040,Riverside ,-117.5082303,33.9264805,36.57
6065050900,4340,Riverside ,-117.3011639,33.9384446,71.69
6065044200,5701,Riverside ,-116.8679887,33.935799,91.76
6065045703,5708,Riverside ,-116.1700827,33.6628977,45.54
6065041406,5968,Riverside ,-117.4870786,33.9035269,44.65
6071004505,4724,San Bernardino,-117.2851984,34.172019,79.97
6065043812,5409,Riverside ,-116.9530089,33.8767216,84.27
6071002306,4169,San Bernardino,-117.4155957,34.1281817,43.44
6065043216,6495,Riverside ,-117.1477073,33.5170351,19.35
6071012104,5110,San Bernardino,-116.958778,34.636683,84.91
6071000808,5840,San Bernardino,-117.6396784,34.1124251,85.08
6065040404,3309,Riverside ,-117.4613234,33.9729183,64.08
6071000503,5270,San Bernardino,-117.7067276,34.0153204,57.2
6065040615,9024,Riverside ,-117.5548004,33.9688013,30.64
6065041909,4990,Riverside ,-117.522205,33.8381856,17.58
6065042403,4071,Riverside ,-117.2207856,33.9488477,68.61
6065042401,2082,Riverside ,-117.1429211,33.9523161,69.68
6065040808,7008,Riverside ,-117.5770354,33.8991933,15.7
6071009910,4653,San Bernardino,-117.3407007,34.4902623,88.27
6071001901,5753,San Bernardino,-117.6630434,34.0083628,57.2
6065043503,4112,Riverside ,-117.0000447,33.7461748,51
6065043008,5394,Riverside ,-117.4175996,33.6671773,47.45
6071002036,11640,San Bernardino,-117.5607306,34.1118416,55.03
6071008404,2729,San Bernardino,-117.1651325,34.0591972,52.2
6065041301,3473,Riverside ,-117.4846527,33.9292791,50.13
6065041906,6360,Riverside ,-117.5971368,33.870484,33.79
6065046101,3060,Riverside ,-114.5838963,33.6142234,89.35
6065043900,6405,Riverside ,-116.9742932,33.9397208,70.02
6065042407,3262,Riverside ,-117.2395682,33.9539269,68.61
6065045900,1838,Riverside ,-114.6691382,33.5281628,89.35
6071010700,3798,San Bernardino,-114.6750382,34.8240667,100
6065041403,2763,Riverside ,-117.4611828,33.8973389,68.41
6065046900,2043,Riverside ,-115.3687419,33.7785595,75.96
6065043822,2689,Riverside ,-117.0687844,33.9243585,61.96
6065043307,5872,Riverside ,-116.9786785,33.7246399,92.01
6071002607,7826,San Bernardino,-117.4512207,34.0404498,45.23
6065040609,8422,Riverside ,-117.617809,33.9180425,24.78
6065043308,2770,Riverside ,-116.9520967,33.7440141,64.48
6065042723,5506,Riverside ,-117.078378,33.7246687,51.05
6071003404,4946,San Bernardino,-117.4050566,34.1082848,45.03
6065030700,5598,Riverside ,-117.3889779,33.9675571,35.63
6071004509,4764,San Bernardino,-117.3024789,34.1770857,86.8
6071002038,5366,San Bernardino,-117.495486,34.1139317,40.56
6071010010,6446,San Bernardino,-117.3367128,34.4570286,72.3
6065045209,5441,Riverside ,-116.2381506,33.7260991,72.5
6065040702,2746,Riverside ,-117.547508,33.9389622,35.84
6071009908,4817,San Bernardino,-117.356568,34.478278,88.27
6065045302,4459,Riverside ,-116.2251547,33.7343347,63.65
6071002027,5543,San Bernardino,-117.5959301,34.1139423,45.17
6065040903,2626,Riverside ,-117.5003175,33.91938,67.77
6065048300,6649,Riverside ,-117.2114532,33.878436,67.3
6065045207,5014,Riverside ,-116.2405275,33.7074307,73.31
6065031702,2387,Riverside ,-117.4412174,33.8968694,68.41
6065044101,2973,Riverside ,-116.8942728,33.9266799,91.76
6065043003,6600,Riverside ,-117.3812313,33.6741549,49.56
6065048700,4489,Riverside ,-117.190976,33.9088488,63.42
6065042720,4434,Riverside ,-117.1147818,33.7737277,49.23
6071011600,7444,San Bernardino,-117.2941317,35.0494454,67.57
6065042728,2266,Riverside ,-117.1724338,33.7304367,36.7
6071007106,3943,San Bernardino,-117.3236045,34.025688,49.68
6065042623,3682,Riverside ,-117.146514,33.8710597,69.7
6071002801,5508,San Bernardino,-117.4447262,34.1102338,36.87
6065042213,4194,Riverside ,-117.3168512,33.9764665,71.9
6065043403,2847,Riverside ,-116.9686965,33.7372831,92.62
6065043701,3512,Riverside ,-116.8640681,33.726269,67.85
6065043206,7606,Riverside ,-117.1918902,33.565141,30.13
6065043821,2707,Riverside ,-116.9602294,33.9374598,70.02
6065051100,6188,Riverside ,-117.2043216,33.8965004,58.81
6065043312,3862,Riverside ,-116.960699,33.7312673,72.75
6071008704,7789,San Bernardino,-117.0713358,34.0195359,44.98
6071007409,5760,San Bernardino,-117.2108858,34.1248922,74.89
6065043404,2544,Riverside ,-116.9826738,33.7376041,90.01
6065042402,4780,Riverside ,-117.2040032,33.9455386,51.48
6071004504,8145,San Bernardino,-117.3430154,34.1940209,80.51
6071002304,18904,San Bernardino,-117.4712111,34.1357381,45.39
6071011203,1593,San Bernardino,-116.8823112,34.2507714,69.57
6065043602,3953,Riverside ,-116.9662949,33.7875282,69.07
6065048901,3805,Riverside ,-117.2130878,33.900986,66.4
6065042622,4107,Riverside ,-117.1876318,33.9260739,69.7
6071010803,3375,San Bernardino,-117.2679825,34.2344383,98.95
6065041809,5834,Riverside ,-117.5449816,33.8557402,14.28
6071011205,1239,San Bernardino,-116.9082131,34.2412057,82.52
6071007403,6947,San Bernardino,-117.2350214,34.1467357,88.17
6065042410,4882,Riverside ,-117.2543975,33.9671778,68.61
6065040616,7610,Riverside ,-117.5776719,33.9422906,18.26
6065049800,3771,Riverside ,-117.1978854,33.5462108,29.45
6065042012,6242,Riverside ,-117.3205065,33.9108776,26.46
6065049000,8249,Riverside ,-117.1908956,33.8800511,51.95
6065043313,3504,Riverside ,-116.9506407,33.7338858,59.37
6065043316,3713,Riverside ,-116.9908966,33.716662,57.79
6071008601,5618,San Bernardino,-117.1317956,34.0605904,83.14
6071007105,2715,San Bernardino,-117.2863081,34.0292865,83.61
6065043703,2585,Riverside ,-116.9005782,33.7539539,66.89
6071011300,1408,San Bernardino,-116.9502352,34.3019952,45.71
6065042408,3152,Riverside ,-117.2309756,33.9542796,68.61
6065941500,4291,Riverside ,-116.880664,33.7741421,68.79
6071000103,4740,San Bernardino,-117.7524244,34.0155703,19.7
